ID	year	source	details
r100001	1985	Boll. Soc. Paleontol. Ital.	23: 167
r100002	1975	Bot. Zhurn.	60: 1686, fig. 7
r101745	1992	Ophelia	36: 70, figs. 35:11-15
r100003	1992	Proc. Ocean Drilling Program, Sci. Results	120: 318, pl. 1: figs. 3, 4
r100004	1992	Proc. Ocean Drilling Program, Sci. Results	120: 318, pl. 1: figs. 1, 2, 6
r124484	1809	M&eacute;moires de la Soci&eacute;t&eacute; Imp&eacute;riale des Naturalistes de Moscou	2: 81
r150628	1842	Linnaea	15: 739
r132390	1851	M&eacute;m. Acad. Imp. Sci. Saint-P&eacute;tersbourg, S&eacute;r. 6, Sci. Nat.	7{Bot.}: 48
r100007	1883	&Ouml;fvers. K. [Svenska] Vet.-Akad. F&ouml;rh.	40{2}: 62, pl. I: fig. 21
r124485	1853	Linnaea	25: 683
r124486	1867	Annales Musei Botanici Lugduno-Batavi	3: 258
r105484	1997	Arch. Protistenk.	148: 80, figs. 5j, 6-10
r105486	1997	Arch. Protistenk.	148: 85, figs. 5k, 15-17
r105485	1997	Arch. Protistenk.	148: 83, figs. 5i, 12, 14
r100008	1985	Boll. Soc. Paleontol. Ital.	23: 168, pl. 5: figs. 2, 5, 19; text-fig. 3
r100009	1985	Boll. Soc. Paleontol. Ital.	23: 170, pl. 5: figs. 20, 21; text-fig. 4
r100011	1985	Boll. Soc. Paleontol. Ital.	23: 174, pl. 5: fig. 8; text-fig. 5
r100010	1985	Boll. Soc. Paleontol. Ital.	23: 174, pl. 5: figs. 10, 14; text-fig. 6
r149000	1994	Aarhus Geosci.	1: 108, pl. 11: figs. 7, 8
r100012	2001	Occas. Pap. Calif. Acad. Sci.	152: 24
r100014	1941	Ann. Naturhist. Mus. Wien	51: 76, 133, pl. I: figs. 1, 2
r100015	1992	Scripta Geol.	100: 23, pl. 2: figs. 3-6
r100016	1945	Rech. Flag. Calc. Alger:	7, pl. I: figs. 1, 1a, 1b, 1c
r100017	1951	Ann. Inst. Oc&eacute;anogr. [Monaco], ser. 2,	26: 269, fig. 6
r131968	1846	&Ouml;fvers. Kongl. [Svenska] Vetensk.-Akad. F&ouml;rh.	3: 104
r100018	1999	Phycologia	38: 539
r151635	1892	Icon. Fl. Jap.	1: 157, pl. XXXIX
r100019	2003	Phycol. Res.	51: 260, figs. 1-23
r150144	1859	Fl. Tasman.	2: 296
r124487	1830	Alg. Brit.:	liv
r124488	1855	Trans. R. Irish Acad.	22(Science): 538
r124489	1828	Voy. Coquille:	156
r124490	1968	Israel Journal of Botany	17: 96
r124491	1863	Sp. Alg.:	2: 820
r124492	1879	Baron Carl Claus von der Decken's Reisen in Ost-Afrika in den Jahren 1859-1865. Wissenschaftlicher Theil. Dritter Band. Dritte Abtheilung. Botanik:	3, 81
r124493	1910	Bot. Tidsskr.	30: 201
r124494	1923	Siboga-Exped. Monogr.	59c: 348
r124495	1956	Indo-Pacific Fisheries Council [FAO], Special Publications	3: 25
r124496	1813	Ann. Mus. Hist. Nat. [Paris]	20: 132
r124497	1863	Sp. Alg.:	2: 821
r158423	2018	Europ. J. Phycol.	54: 9
r158920	2019	Phytotaxa	395: 56
r100024	2003	J. Phycol.	39: 1249
r124498	1952	Univ. Calif. Publ. Bot.	25: 255
r124499	1824	Voyage autour du monde ... ex&eacute;cut&eacute; sur les corvettes de S.M. l'Uranie et la Physicienne, pendant les ann&eacute;es 1817, 1818, 1819 et 1820:	621, pl. 90: figs. 6, 7
r100025	1934	J. Fac. Sci. Hokkaido Imp. Univ., Ser. V, Bot.	3: 57, figs. 24, 25
r124500	1816	Histoire des polypiers corallig&egrave;nes flexibles, vulgairement nomm&eacute;s zoophytes:	249, pl. VIII: fig. 1
r124501	1936	Ceylon Journal of Science, Botany	12: 65, fig. 2
r124502	1895	Trans. Linn. Soc. London, Bot.	5: 22-24, pl. 1: fig. 11
r100026	1895	Trans. Linn. Soc. London, Bot.	5: 28, pl. 2: figs. 1, 4
